date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-11-08,99,329,16,2023-11-07 23:02:00+0000,2023-11-08 08:10:00+0000,104,
2023-11-09,87,304,10,2023-11-09 00:09:00+0000,2023-11-09 08:18:00+0000,88,
2023-11-10,112,342,11,2023-11-09 23:46:00+0000,2023-11-10 08:57:00+0000,86,
2023-11-11,88,341,0,2023-11-10 23:46:00+0000,2023-11-11 08:10:00+0000,75,
2023-11-13,0,0,0,2023-11-13 23:00:00+0000,2023-11-13 23:00:00+0000,0,
2023-11-14,0,0,0,2023-11-14 23:00:00+0000,2023-11-14 23:00:00+0000,0,
2023-11-15,25,395,10,2023-11-14 23:29:00+0000,2023-11-15 09:25:00+0000,166,
2023-11-16,80,327,0,2023-11-16 00:00:00+0000,2023-11-16 08:24:00+0000,97,
2023-11-17,105,312,3,2023-11-16 23:16:00+0000,2023-11-17 07:31:00+0000,75,
2023-11-18,46,379,1,2023-11-18 00:19:00+0000,2023-11-18 09:58:00+0000,153,
2023-11-19,71,370,1,2023-11-19 00:37:00+0000,2023-11-19 09:32:00+0000,93,
2023-11-20,98,270,12,2023-11-19 23:17:00+0000,2023-11-20 07:30:00+0000,113,
2023-11-21,0,0,0,2023-11-21 23:00:00+0000,2023-11-21 23:00:00+0000,0,
